random kmeans,kde kmeans,kmeans++,random SOM,kmeans SOM,kde kmeans SOM,kmeans++ SOM,SOM++,kde SOM
0.6838250203278415,0.6618444872094704,0.5472491061716644,0.11368128072057954,0.4772930356887667,0.47368852842684156,0.5358640224850412,0.514727231796108,0.21025397284070785
0.6790972216250503,0.6790972216250503,0.5479320389079776,0.68477369308249,0.5552005113118104,0.24877095979170577,0.5266010576914304,0.534656231895015,-0.012938994906522071
0.6752934296290661,,0.5354755552788004,0.4235854837617757,0.46450467926258926,0.18166150686191085,0.5407055479141365,0.488234877951657,0.041006541293650646
,0.6813062184216552,0.5504274674166899,0.17448163281229626,0.2708495916197041,0.22664458357984454,0.5043713372309782,0.5054490733716941,0.5031874701023371
,0.6838250203278416,0.5385476773870237,0.41082626254810506,0.6847736930824899,0.25083414204810794,0.5099622508008219,0.5284097761418597,0.6395026427117978
0.68477369308249,0.6752934296290661,0.5169069565375188,0.13980961681652654,0.4308086298856963,0.29075644212157153,0.5130666882662861,0.4684245134931911,0.68477369308249
0.68477369308249,0.6790972216250503,0.5109022522181726,-0.23734185441470088,0.30255396902200105,0.5131341568333219,0.5296591207400051,0.4833048951718028,
0.6847736930824899,0.68477369308249,0.5468782664399154,0.3384097743658529,0.34651609720548887,0.4584788048484968,0.37528208365688764,0.5284843297610757,0.5744320095270202
0.6403275355623514,0.6790972216250503,0.5365684106698051,0.02993424227344788,0.668890105106973,0.3343235554856683,0.48513960351382573,0.5485613380078352,0.68477369308249
0.6838250203278414,0.6752934296290661,0.5254650716842821,0.21927785460487723,0.35994568063067184,0.2537960111566752,0.5159038860599698,0.5159038860599698,0.41594664540740073
0.68477369308249,0.6476503172838575,0.5501981391949841,0.1737700797113926,0.6486027477960242,0.4328209056141939,0.4613314094368835,0.4500742211442832,0.24109654048196888
0.68477369308249,0.6752934296290661,0.5178793986264301,0.68477369308249,0.6752934296290661,0.40324448475048635,0.4741449025636384,0.5503418339803587,-0.10649779339708763
0.6838250203278414,,0.5159038860599698,0.6847736930824899,0.5373951799090352,0.3808647274062519,0.4917024737659684,0.5517461820496445,0.6440296646075624
0.6838250203278416,0.6790972216250505,0.5490816772977904,0.6813062184216553,0.5504274674166899,0.27904905403163244,0.47866909911452316,0.4565326735574724,-0.12683213167332058
0.6838250203278415,0.6752934296290664,0.5494249679600381,0.5313665721807347,0.38627261046799755,0.22689787821538743,0.5008803856594837,0.5508424015531378,0.6720944447575964
0.6476503172838575,0.68477369308249,0.5159038860599698,0.09629788074766751,0.5111657186439634,0.31204772675173903,0.5179293482420348,0.522270061123381,
0.6838250203278415,0.5468782664399154,0.5501981391949843,0.6420389236654496,0.3268559378409344,0.19823854543289707,0.507760470582031,0.48854418116783876,0.20332864682699833
0.6790972216250505,0.668890105106973,0.5161624763115098,0.2756299169568256,0.68477369308249,0.19290085096188886,0.5116691913057901,0.4673974847279343,0.5802337945667976
0.6476503172838575,0.668890105106973,0.5337693110421825,-0.06144119579977306,0.36039686108823055,0.6847736930824899,0.5176052918982242,0.4565326735574725,0.45893365391248303
0.6838250203278414,0.6790972216250503,0.5464483130405984,0.24639412342926606,0.013838190120675881,0.47896093714831045,0.4934024853208744,0.5269154597602445,0.43127472033286807
,0.6838250203278415,0.5351573660499321,0.49539797891206716,0.6752934296290661,0.3281543078353252,0.47867853834912444,0.4957915827801224,0.5154697172871509
0.6847736930824898,0.6838250203278416,0.5526958326501994,0.06961773334330933,0.1850468009395997,0.32322421810906327,0.48302248328625813,0.48608439011057086,0.4932231058722069
,0.68477369308249,0.5508424015531378,0.5321028949957732,0.6752934296290662,0.3067614481194483,0.5036919408797774,0.4656840858619742,0.4240398188720033
0.6790972216250504,,0.5278453509357067,0.22546031344643164,0.3958354503510184,0.44535448605373407,0.4990210464175704,0.5515453000165391,-0.12683213167332064
,0.6327193891234406,0.5496537542500424,0.40577821691805216,0.5232504157423541,0.49709330119726775,0.4766839289318215,0.5184356564765767,
0.6618444872094705,0.6403275355623514,0.5501981391949841,0.35646907876584266,0.6813062184216552,0.5149904420842221,0.4992362543515802,0.5147272317961079,0.4984769606617978
0.6838250203278416,,0.5432786811424363,0.2935792986137542,0.4753752374050897,0.25287635071320347,0.5178793986264301,0.5090758088871039,0.6476503172838575
0.5074925550469574,0.6838250203278415,0.5485275422003757,0.5042359401987561,0.36144601202291887,0.5169752086160749,0.3574152526554653,0.4846811209271957,0.6790972216250503
0.6752934296290661,0.6790972216250504,0.5277500118271299,,0.5373951799090352,0.6752934296290661,0.4233526933878448,0.5432786811424363,0.31876443152658646
,0.6790972216250505,0.5468309110723271,0.3785000485079356,0.5108037362702935,0.38198407107017485,0.4687865514652419,0.5100638703541587,0.68477369308249
