kmeans++,random SOM,kmeans SOM,kmeans++ SOM,SOM++,kde SOM
24.916463375091553,37.59525775909424,37.658074140548706,46.22288131713867,44.61477780342102,38.49323320388794
24.536282539367676,37.92085266113281,37.14923334121704,46.551358222961426,44.96186065673828,37.68550252914429
24.618448734283447,38.19970750808716,36.73295569419861,47.00840950012207,45.88992619514465,37.685503005981445
25.328336238861084,39.08502531051636,36.37138843536377,46.22207951545715,45.92122459411621,37.202197313308716
25.14839506149292,39.152891397476196,36.11220693588257,45.02278780937195,45.91655397415161,38.7391517162323
24.289623975753784,36.82490015029907,34.83915972709656,42.16520690917969,42.94463872909546,35.37464690208435
23.742439031600952,36.770647048950195,35.64042806625366,41.06090688705444,42.1220645904541,35.6405770778656
23.092131853103638,36.166343450546265,35.5162353515625,42.106128215789795,41.335463523864746,35.2506058216095
23.512027740478516,35.32789468765259,35.775991439819336,42.76107859611511,41.37970781326294,35.31926703453064
23.827587842941284,36.22915029525757,35.3754985332489,43.28188443183899,42.45939254760742,34.278706550598145
23.281192779541016,36.637728214263916,35.72266387939453,43.06604027748108,43.121002197265625,34.96325373649597
22.981008052825928,36.02517604827881,35.387699365615845,42.251694679260254,42.840426206588745,36.144163370132446
22.675284147262573,35.434616565704346,34.976932764053345,42.08194422721863,42.79350829124451,35.80373024940491
23.99119234085083,35.117419481277466,34.969839572906494,43.28571009635925,42.34793949127197,36.20572638511658
23.623369932174683,36.31322741508484,36.106542348861694,42.79315948486328,42.19840621948242,34.7488796710968
23.452975749969482,36.584681034088135,34.811529874801636,41.644949436187744,43.04553556442261,34.90319347381592
23.179923057556152,36.40502905845642,35.6034517288208,41.418646812438965,42.28171992301941,35.66743731498718
23.657588005065918,36.57620358467102,35.99636149406433,42.777214765548706,41.23028326034546,35.54302167892456
24.176576852798462,35.985817670822144,35.829729318618774,43.09415102005005,41.523475646972656,34.76261615753174
23.404804944992065,36.34347748756409,34.424105644226074,42.91214847564697,42.9520320892334,34.123825788497925
23.117336988449097,36.091387033462524,34.78686285018921,41.97286915779114,42.669554233551025,35.48405480384827
22.660150051116943,36.041179180145264,35.28344798088074,42.1672523021698,42.863786935806274,35.532644510269165
23.54792356491089,35.69763684272766,35.30092787742615,42.973392724990845,42.14562726020813,35.61529517173767
23.87463903427124,35.68388819694519,35.05097818374634,43.06492781639099,42.15666437149048,35.649354219436646
23.75432825088501,36.63204097747803,34.2339506149292,43.64923024177551,46.81011390686035,38.365785360336304
25.02691388130188,40.50844669342041,38.078190326690674,44.98817420005798,47.301912784576416,39.03151607513428
25.11313033103943,40.61318898200989,38.92215943336487,44.86252236366272,43.233208417892456,35.29123783111572
23.414281368255615,36.429919958114624,35.74655747413635,41.169230461120605,42.0111608505249,35.40016961097717
23.269444227218628,36.41472315788269,35.690126180648804,42.567421436309814,41.414448499679565,35.906553506851196
24.26989221572876,35.979214906692505,36.54475736618042,44.09217309951782,41.35234880447388,35.4873104095459
23.981446743011475,36.324827909469604,35.0164692401886,42.69777798652649,42.42834663391113,34.40358638763428
23.001233339309692,36.1529335975647,34.776222944259644,42.30034804344177,43.61579728126526,35.406644344329834
22.654749870300293,36.65346956253052,36.2785484790802,42.408940076828,42.81665849685669,36.32206416130066
23.078110218048096,35.79378032684326,35.60348725318909,42.76042556762695,43.129640102386475,36.19871973991394
24.108590126037598,35.27879500389099,34.95229625701904,42.50887870788574,41.771937131881714,35.034111976623535
23.659371614456177,36.260019302368164,36.31254196166992,45.04778265953064,46.086971282958984,38.02262020111084
24.92571759223938,39.76982069015503,36.99360752105713,45.77992868423462,46.16561770439148,38.169039249420166
24.66285490989685,39.66853332519531,37.163182735443115,44.82952618598938,46.86334824562073,38.31180214881897
24.231322050094604,39.94988822937012,37.81041693687439,44.19610404968262,46.68463444709778,38.419612884521484
24.36626672744751,40.00656080245972,38.58045244216919,44.31619572639465,46.51130533218384,38.38451647758484
24.25481629371643,39.562063217163086,39.022857427597046,44.349918365478516,46.11442542076111,38.81370186805725
24.298630714416504,39.156930446624756,38.919230699539185,44.398635387420654,45.23411750793457,38.81072378158569
24.592512369155884,38.48004460334778,38.500868797302246,44.432432889938354,44.03428101539612,38.88218879699707
24.706300735473633,38.67558479309082,38.50250864028931,45.18271231651306,43.66162872314453,38.717040061950684
24.773857831954956,38.042728424072266,37.54929065704346,44.67051577568054,43.10620594024658,37.493353605270386
24.412578582763672,38.16807198524475,37.27562975883484,46.087692737579346,43.74631714820862,36.95746445655823
24.939446687698364,39.21214437484741,37.24246788024902,45.62817168235779,44.417399168014526,36.47243666648865
24.85799741744995,38.912148237228394,36.89994406700134,45.103710412979126,45.935590744018555,38.515079736709595
25.652698278427124,39.141319274902344,60.37074398994446,47.1550829410553,47.87953996658325,38.88637900352478
24.200222969055176,38.18612360954285,38.9950590133667,46.398959159851074,74.214350938797,37.61802554130554
